-24,58,-16,12,38,-68,39,35,47
-29,52,-14,16,40,-61,30,34,44
-32,42,-17,32,40,-48,32,27,39
-30,45,-12,41,36,-44,33,25,34
-29,46,-3,47,31,-42,30,25,32
-24,41,0,49,28,-39,26,24,26
-14,43,2,50,25,-36,22,21,26
-9,45,6,50,27,-30,17,21,26
-5,47,12,51,21,-24,16,21,25
31,69,19,41,32,-28,18,21,23
14,58,13,37,29,-29,19,17,23
-8,60,8,32,24,-26,23,10,26
-19,71,9,32,23,-28,29,10,33
-32,69,7,34,24,-28,35,10,40
-42,47,3,30,20,-26,30,9,48
-59,19,-5,26,17,-25,30,9,51
-57,3,-10,28,19,-27,35,8,53
-40,-1,-11,30,17,-28,35,10,54
-41,12,-7,30,22,-30,39,12,45
-47,14,-6,32,23,-30,35,14,40
-41,11,0,35,22,-30,26,12,32
-36,17,0,37,21,-28,23,10,27
-27,20,0,38,20,-26,21,9,24
-28,23,1,42,22,-26,22,9,23
-22,51,9,44,24,-25,25,10,23
-13,52,10,46,28,-26,29,16,25
8,69,5,48,36,-27,24,17,25
10,76,18,48,36,-28,17,24,29
15,64,28,48,42,-41,14,29,32
-11,44,7,45,47,-50,10,31,36
-30,32,-10,32,47,-54,18,30,40
-47,40,-19,27,46,-56,33,38,43
-25,58,-15,24,48,-61,37,43,47
-23,54,-15,24,46,-59,35,41,46
-37,48,-19,28,42,-54,37,35,43
-42,46,-16,37,36,-51,35,32,39
-32,46,-10,40,34,-48,31,26,34
-21,42,-4,43,30,-44,26,24,30
-10,43,4,44,32,-41,21,19,24
-6,44,12,44,30,-37,17,18,23
0,45,17,41,23,-32,14,23,23
8,51,19,41,23,-33,16,25,24
28,63,17,38,28,-33,18,23,24
7,55,12,37,26,-32,18,19,27
-5,60,5,32,9,-22,21,12,32
-33,61,7,31,13,-23,25,8,40
-36,55,5,32,8,-23,26,6,45
-40,39,0,34,11,-25,23,11,50
-48,26,-3,33,19,-26,23,12,52
-50,13,-8,25,23,-32,33,10,52
-48,12,-9,28,28,-35,39,8,51
-44,19,-3,30,28,-32,35,14,46
-41,21,-2,30,21,-32,30,18,42
-35,19,0,38,23,-33,23,14,32
-32,19,0,42,25,-34,20,11,26
-31,17,1,44,25,-34,19,9,24
-31,19,6,43,25,-30,19,8,21
-23,47,11,45,25,-29,23,11,21
3,62,3,47,28,-26,25,16,22
14,64,5,48,30,-25,21,18,22
9,92,35,50,36,-25,17,33,31
-8,65,29,50,39,-30,21,43,36
-30,30,-10,50,46,-47,19,35,34
-41,30,-22,36,50,-61,29,39,43
-30,57,-21,25,46,-64,37,46,45
-26,55,-16,21,49,-66,33,47,46
-31,50,-17,25,48,-62,34,41,43
-33,44,-10,36,38,-50,35,32,33
-30,44,-4,40,32,-46,32,26,29
-15,44,0,43,28,-42,24,20,23
-7,44,5,50,28,-37,21,18,21
-3,44,14,49,24,-33,16,19,21
0,49,18,53,18,-33,17,21,23
28,64,18,56,26,-32,19,22,24
13,60,16,43,18,-30,18,18,25
0,59,12,38,14,-28,17,13,30
-28,64,10,37,10,-25,19,9,37
-36,61,6,34,9,-24,25,10,45
-42,38,2,32,7,-23,27,11,51
-47,21,-1,27,9,-25,32,8,54
